No,Nama Dokumen,Nomor Dokumen,Tanggal Dokumen,Jenis Dokumen,Isi Dokumen
233,Jadwal ujian akhir semester,SMKT-AD/AKD/233/2025,17 April 2025,Akademik,Dokumen 'Jadwal ujian akhir semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
234,Laporan pemeliharaan sarana,SMKT-AD/SRP/234/2025,31 March 2025,Sarana dan Prasarana,Dokumen 'Laporan pemeliharaan sarana' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
235,Formulir pendaftaran siswa baru,SMKT-AD/SW/235/2025,11 October 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
236,Laporan kas harian,SMKT-AD/KUG/236/2025,12 June 2025,Keuangan,Dokumen 'Laporan kas harian' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
237,Rekap nilai ujian praktik,SMKT-AD/EVL/237/2025,12 September 2025,Evaluasi,Dokumen 'Rekap nilai ujian praktik' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
238,Program semester,SMKT-AD/KUR/238/2025,24 May 2025,Kurikulum,Dokumen 'Program semester' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
239,Bukti pengeluaran kas,SMKT-AD/KUG/239/2025,19 December 2025,Keuangan,Dokumen 'Bukti pengeluaran kas' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
240,Laporan pemeliharaan sarana,SMKT-AD/SRP/240/2025,16 May 2025,Sarana dan Prasarana,Dokumen 'Laporan pemeliharaan sarana' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
241,Laporan realisasi anggaran,SMKT-AD/KUG/241/2025,27 June 2025,Keuangan,Dokumen 'Laporan realisasi anggaran' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
242,Surat undangan rapat,SMKT-AD/ADM/242/2025,01 May 2025,Administrasi,Dokumen 'Surat undangan rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
243,Dokumen standar kompetensi lulusan,SMKT-AD/KUR/243/2025,26 August 2025,Kurikulum,Dokumen 'Dokumen standar kompetensi lulusan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
244,Kartu ujian siswa,SMKT-AD/SW/244/2025,25 February 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
245,Rencana pengadaan barang,SMKT-AD/KUG/245/2025,10 May 2025,Keuangan,Dokumen 'Rencana pengadaan barang' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
246,Berita acara serah terima barang,SMKT-AD/SRP/246/2025,06 January 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
247,RPP mata pelajaran,SMKT-AD/KUR/247/2025,28 April 2025,Kurikulum,Dokumen 'RPP mata pelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
248,Daftar guru pengajar,SMKT-AD/AKD/248/2025,25 January 2025,Akademik,Dokumen 'Daftar guru pengajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
249,Laporan kas harian,SMKT-AD/KUG/249/2025,30 January 2025,Keuangan,Dokumen 'Laporan kas harian' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
250,Rekap dana BOS,SMKT-AD/KUG/250/2025,06 September 2025,Keuangan,Dokumen 'Rekap dana BOS' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
251,Daftar materi ajar,SMKT-AD/KUR/251/2025,13 February 2025,Kurikulum,Dokumen 'Daftar materi ajar' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
252,Daftar fasilitas olahraga,SMKT-AD/SRP/252/2025,17 February 2025,Sarana dan Prasarana,Dokumen 'Daftar fasilitas olahraga' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
253,Rekap dana BOS,SMKT-AD/KUG/253/2025,21 May 2025,Keuangan,Dokumen 'Rekap dana BOS' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
254,Daftar materi ajar,SMKT-AD/KUR/254/2025,29 January 2025,Kurikulum,Dokumen 'Daftar materi ajar' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
255,Daftar guru pengajar,SMKT-AD/AKD/255/2025,10 December 2025,Akademik,Dokumen 'Daftar guru pengajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
256,Jadwal pemakaian lab,SMKT-AD/SRP/256/2025,11 June 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
257,Jadwal pemakaian lab,SMKT-AD/SRP/257/2025,28 May 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
258,Formulir pendaftaran siswa baru,SMKT-AD/SW/258/2025,12 April 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
259,Laporan pengadaan alat,SMKT-AD/SRP/259/2025,01 May 2025,Sarana dan Prasarana,Dokumen 'Laporan pengadaan alat' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
260,Rekap penilaian akhir,SMKT-AD/EVL/260/2025,09 August 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
261,Foto dokumentasi perbaikan,SMKT-AD/SRP/261/2025,23 February 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
262,Laporan hasil wawancara siswa,SMKT-AD/EVL/262/2025,31 January 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
263,Rencana perbaikan gedung,SMKT-AD/SRP/263/2025,19 April 2025,Sarana dan Prasarana,Dokumen 'Rencana perbaikan gedung' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
264,Kartu ujian siswa,SMKT-AD/SW/264/2025,30 July 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
265,Jadwal ujian tengah semester,SMKT-AD/AKD/265/2025,04 February 2025,Akademik,Dokumen 'Jadwal ujian tengah semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
266,Daftar hadir rapat,SMKT-AD/ADM/266/2025,22 November 2025,Administrasi,Dokumen 'Daftar hadir rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
267,Laporan realisasi anggaran,SMKT-AD/KUG/267/2025,21 January 2025,Keuangan,Dokumen 'Laporan realisasi anggaran' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
268,Surat tugas panitia,SMKT-AD/ADM/268/2025,07 October 2025,Administrasi,Dokumen 'Surat tugas panitia' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
269,Panduan penilaian,SMKT-AD/KUR/269/2025,10 October 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
270,Laporan audit internal,SMKT-AD/KUG/270/2025,08 October 2025,Keuangan,Dokumen 'Laporan audit internal' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
271,Rekap nilai ujian praktik,SMKT-AD/EVL/271/2025,23 October 2025,Evaluasi,Dokumen 'Rekap nilai ujian praktik' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
272,Jadwal ujian tengah semester,SMKT-AD/AKD/272/2025,19 September 2025,Akademik,Dokumen 'Jadwal ujian tengah semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
273,Agenda kegiatan sekolah,SMKT-AD/ADM/273/2025,29 December 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
274,Daftar guru pengajar,SMKT-AD/AKD/274/2025,05 June 2025,Akademik,Dokumen 'Daftar guru pengajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
275,Foto dokumentasi perbaikan,SMKT-AD/SRP/275/2025,14 June 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
276,Berita acara serah terima barang,SMKT-AD/SRP/276/2025,17 January 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
277,Daftar materi ajar,SMKT-AD/KUR/277/2025,19 October 2025,Kurikulum,Dokumen 'Daftar materi ajar' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
278,Agenda kegiatan sekolah,SMKT-AD/ADM/278/2025,11 December 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
279,Rencana pengembangan kurikulum,SMKT-AD/KUR/279/2025,15 November 2025,Kurikulum,Dokumen 'Rencana pengembangan kurikulum' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
280,Daftar hadir rapat,SMKT-AD/ADM/280/2025,24 October 2025,Administrasi,Dokumen 'Daftar hadir rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
281,Rencana anggaran tahunan,SMKT-AD/KUG/281/2025,19 July 2025,Keuangan,Dokumen 'Rencana anggaran tahunan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
282,Proposal kegiatan sekolah,SMKT-AD/ADM/282/2025,27 September 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
283,Daftar guru pengajar,SMKT-AD/AKD/283/2025,11 September 2025,Akademik,Dokumen 'Daftar guru pengajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
284,Notulen rapat,SMKT-AD/ADM/284/2025,04 July 2025,Administrasi,Dokumen 'Notulen rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
285,Silabus pembelajaran,SMKT-AD/KUR/285/2025,01 July 2025,Kurikulum,Dokumen 'Silabus pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
286,Foto dokumentasi perbaikan,SMKT-AD/SRP/286/2025,10 June 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
287,Daftar mata pelajaran,SMKT-AD/AKD/287/2025,28 October 2025,Akademik,Dokumen 'Daftar mata pelajaran' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
288,Rekap penilaian akhir,SMKT-AD/EVL/288/2025,22 October 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
289,Laporan kerusakan fasilitas,SMKT-AD/SRP/289/2025,24 January 2025,Sarana dan Prasarana,Dokumen 'Laporan kerusakan fasilitas' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
290,Daftar guru pengajar,SMKT-AD/AKD/290/2025,19 July 2025,Akademik,Dokumen 'Daftar guru pengajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
291,Surat izin orang tua,SMKT-AD/SW/291/2025,24 January 2025,Siswa,Dokumen 'Surat izin orang tua' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
292,SK pengangkatan guru,SMKT-AD/KPG/292/2025,24 July 2025,Kepegawaian,Dokumen 'SK pengangkatan guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
293,Laporan kinerja tahunan,SMKT-AD/KPG/293/2025,21 June 2025,Kepegawaian,Dokumen 'Laporan kinerja tahunan' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
294,Daftar guru pengajar,SMKT-AD/AKD/294/2025,28 May 2025,Akademik,Dokumen 'Daftar guru pengajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
295,Laporan keuangan semester,SMKT-AD/KUG/295/2025,21 December 2025,Keuangan,Dokumen 'Laporan keuangan semester' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
296,Laporan hasil wawancara siswa,SMKT-AD/EVL/296/2025,26 November 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
297,Form evaluasi kegiatan sekolah,SMKT-AD/EVL/297/2025,07 September 2025,Evaluasi,Dokumen 'Form evaluasi kegiatan sekolah' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
298,Bukti pengeluaran kas,SMKT-AD/KUG/298/2025,02 May 2025,Keuangan,Dokumen 'Bukti pengeluaran kas' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
299,Daftar mata pelajaran,SMKT-AD/AKD/299/2025,17 February 2025,Akademik,Dokumen 'Daftar mata pelajaran' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
300,Formulir cuti pegawai,SMKT-AD/KPG/300/2025,09 July 2025,Kepegawaian,Dokumen 'Formulir cuti pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
301,Formulir cuti pegawai,SMKT-AD/KPG/301/2025,03 May 2025,Kepegawaian,Dokumen 'Formulir cuti pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
302,Laporan pengadaan alat,SMKT-AD/SRP/302/2025,29 December 2025,Sarana dan Prasarana,Dokumen 'Laporan pengadaan alat' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
303,Laporan keuangan semester,SMKT-AD/KUG/303/2025,26 August 2025,Keuangan,Dokumen 'Laporan keuangan semester' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
304,Surat pernyataan kerja sama,SMKT-AD/ADM/304/2025,15 March 2025,Administrasi,Dokumen 'Surat pernyataan kerja sama' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
305,Daftar siswa remedial,SMKT-AD/EVL/305/2025,26 July 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
306,Laporan kerusakan fasilitas,SMKT-AD/SRP/306/2025,26 October 2025,Sarana dan Prasarana,Dokumen 'Laporan kerusakan fasilitas' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
307,Formulir mutasi siswa,SMKT-AD/SW/307/2025,28 July 2025,Siswa,Dokumen 'Formulir mutasi siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
308,Kwitansi pembayaran kegiatan,SMKT-AD/KUG/308/2025,18 January 2025,Keuangan,Dokumen 'Kwitansi pembayaran kegiatan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
309,Surat edaran sekolah,SMKT-AD/ADM/309/2025,21 August 2025,Administrasi,Dokumen 'Surat edaran sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
310,Program semester,SMKT-AD/KUR/310/2025,27 November 2025,Kurikulum,Dokumen 'Program semester' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
311,Berita acara serah terima barang,SMKT-AD/SRP/311/2025,27 August 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
312,Laporan pemeliharaan sarana,SMKT-AD/SRP/312/2025,21 February 2025,Sarana dan Prasarana,Dokumen 'Laporan pemeliharaan sarana' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
313,Bukti penerimaan sumbangan,SMKT-AD/KUG/313/2025,03 November 2025,Keuangan,Dokumen 'Bukti penerimaan sumbangan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
314,Form penilaian sikap siswa,SMKT-AD/EVL/314/2025,05 September 2025,Evaluasi,Dokumen 'Form penilaian sikap siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
315,Jadwal pemakaian lab,SMKT-AD/SRP/315/2025,24 April 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
316,Formulir pendaftaran siswa baru,SMKT-AD/SW/316/2025,02 August 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
317,Jadwal pemakaian lab,SMKT-AD/SRP/317/2025,16 November 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
318,Surat edaran sekolah,SMKT-AD/ADM/318/2025,26 February 2025,Administrasi,Dokumen 'Surat edaran sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
319,Berita acara serah terima barang,SMKT-AD/SRP/319/2025,09 June 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
320,Analisis hasil belajar siswa,SMKT-AD/EVL/320/2025,25 January 2025,Evaluasi,Dokumen 'Analisis hasil belajar siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
321,Laporan supervisi kelas,SMKT-AD/EVL/321/2025,05 June 2025,Evaluasi,Dokumen 'Laporan supervisi kelas' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
322,Rencana pengadaan barang,SMKT-AD/KUG/322/2025,12 February 2025,Keuangan,Dokumen 'Rencana pengadaan barang' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
323,Jadwal pemakaian lab,SMKT-AD/SRP/323/2025,23 December 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
324,Rekap barang masuk dan keluar,SMKT-AD/SRP/324/2025,11 February 2025,Sarana dan Prasarana,Dokumen 'Rekap barang masuk dan keluar' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
325,Daftar mata pelajaran,SMKT-AD/AKD/325/2025,31 March 2025,Akademik,Dokumen 'Daftar mata pelajaran' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
326,Jadwal piket guru,SMKT-AD/KPG/326/2025,20 November 2025,Kepegawaian,Dokumen 'Jadwal piket guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
327,Form penilaian sikap siswa,SMKT-AD/EVL/327/2025,01 August 2025,Evaluasi,Dokumen 'Form penilaian sikap siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
328,Formulir pendaftaran siswa baru,SMKT-AD/SW/328/2025,05 January 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
329,Jadwal piket guru,SMKT-AD/KPG/329/2025,26 August 2025,Kepegawaian,Dokumen 'Jadwal piket guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
330,Foto dokumentasi perbaikan,SMKT-AD/SRP/330/2025,19 September 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
331,SK pemberhentian sementara,SMKT-AD/KPG/331/2025,24 March 2025,Kepegawaian,Dokumen 'SK pemberhentian sementara' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
332,Panduan penilaian,SMKT-AD/KUR/332/2025,24 April 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
333,Laporan hasil rapat,SMKT-AD/ADM/333/2025,30 September 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
334,Daftar fasilitas olahraga,SMKT-AD/SRP/334/2025,03 August 2025,Sarana dan Prasarana,Dokumen 'Daftar fasilitas olahraga' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
335,Daftar materi ajar,SMKT-AD/KUR/335/2025,13 May 2025,Kurikulum,Dokumen 'Daftar materi ajar' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
336,Surat pernyataan kerja sama,SMKT-AD/ADM/336/2025,22 December 2025,Administrasi,Dokumen 'Surat pernyataan kerja sama' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
337,Laporan absensi pegawai,SMKT-AD/KPG/337/2025,14 September 2025,Kepegawaian,Dokumen 'Laporan absensi pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
338,Surat edaran sekolah,SMKT-AD/ADM/338/2025,09 December 2025,Administrasi,Dokumen 'Surat edaran sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
339,Jadwal piket guru,SMKT-AD/KPG/339/2025,08 October 2025,Kepegawaian,Dokumen 'Jadwal piket guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
340,Analisis hasil belajar siswa,SMKT-AD/EVL/340/2025,29 June 2025,Evaluasi,Dokumen 'Analisis hasil belajar siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
341,Form penilaian sikap siswa,SMKT-AD/EVL/341/2025,16 June 2025,Evaluasi,Dokumen 'Form penilaian sikap siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
342,Form penilaian sikap siswa,SMKT-AD/EVL/342/2025,11 May 2025,Evaluasi,Dokumen 'Form penilaian sikap siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
343,Notulen rapat guru,SMKT-AD/KPG/343/2025,30 November 2025,Kepegawaian,Dokumen 'Notulen rapat guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
344,Rencana pengembangan kurikulum,SMKT-AD/KUR/344/2025,25 December 2025,Kurikulum,Dokumen 'Rencana pengembangan kurikulum' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
345,Proposal kegiatan sekolah,SMKT-AD/ADM/345/2025,31 March 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
346,Notulen rapat guru,SMKT-AD/KPG/346/2025,19 July 2025,Kepegawaian,Dokumen 'Notulen rapat guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
347,Jadwal pemakaian lab,SMKT-AD/SRP/347/2025,10 January 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
348,Laporan hasil wawancara siswa,SMKT-AD/EVL/348/2025,16 July 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
349,Surat undangan rapat,SMKT-AD/ADM/349/2025,25 May 2025,Administrasi,Dokumen 'Surat undangan rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
350,Daftar hadir rapat,SMKT-AD/ADM/350/2025,05 April 2025,Administrasi,Dokumen 'Daftar hadir rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
351,Rencana perbaikan gedung,SMKT-AD/SRP/351/2025,10 November 2025,Sarana dan Prasarana,Dokumen 'Rencana perbaikan gedung' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
